Date,Campaign,Impressions,Clicks
31-03-2023,Campaign A,647,14
01-04-2023,Campaign A,639,11
02-04-2023,Campaign A,532,14
03-04-2023,Campaign A,487,8
04-04-2023,Campaign A,656,11
05-04-2023,Campaign A,718,11
06-04-2023,Campaign A,675,18
07-04-2023,Campaign A,617,15
08-04-2023,Campaign A,709,12
09-04-2023,Campaign A,690,10
10-04-2023,Campaign A,698,13
11-04-2023,Campaign A,636,10
12-04-2023,Campaign A,669,13
13-04-2023,Campaign A,610,10
14-04-2023,Campaign B,1785,103
14-04-2023,Campaign A,581,11
15-04-2023,Campaign B,1899,79
15-04-2023,Campaign A,561,11
16-04-2023,Campaign B,1885,88
16-04-2023,Campaign A,683,15
16-04-2023,Campaign C,930,11
17-04-2023,Campaign D,1491,54
17-04-2023,Campaign B,1745,82
17-04-2023,Campaign A,681,18
17-04-2023,Campaign C,1039,9
18-04-2023,Campaign D,1500,67
18-04-2023,Campaign B,1929,81
18-04-2023,Campaign A,610,14
18-04-2023,Campaign C,943,13
19-04-2023,Campaign D,1682,86
19-04-2023,Campaign B,1819,91
19-04-2023,Campaign A,583,11
19-04-2023,Campaign C,1131,15
20-04-2023,Campaign A,756,14
20-04-2023,Campaign B,2026,98
20-04-2023,Campaign C,941,14
20-04-2023,Campaign E,2304,74
20-04-2023,Campaign D,1738,89
21-04-2023,Campaign A,816,18
21-04-2023,Campaign B,1827,80
21-04-2023,Campaign C,1067,13
21-04-2023,Campaign E,2182,80
21-04-2023,Campaign D,1589,80
22-04-2023,Campaign A,588,7
22-04-2023,Campaign B,1877,73
22-04-2023,Campaign C,1124,13
22-04-2023,Campaign E,2284,75
22-04-2023,Campaign D,1700,69
23-04-2023,Campaign A,638,14
23-04-2023,Campaign B,1778,91
23-04-2023,Campaign C,928,8
23-04-2023,Campaign E,2419,81
23-04-2023,Campaign D,1597,61
24-04-2023,Campaign A,652,10
24-04-2023,Campaign B,2163,109
24-04-2023,Campaign C,875,9
24-04-2023,Campaign E,2224,62
24-04-2023,Campaign D,1712,96
25-04-2023,Campaign A,612,15
25-04-2023,Campaign F,1460,17
25-04-2023,Campaign B,1744,99
25-04-2023,Campaign C,933,10
25-04-2023,Campaign E,2198,74
25-04-2023,Campaign D,1582,85
26-04-2023,Campaign A,642,12
26-04-2023,Campaign F,1338,24
26-04-2023,Campaign B,2031,111
26-04-2023,Campaign C,981,14
26-04-2023,Campaign E,2382,82
26-04-2023,Campaign D,1805,80
26-04-2023,Campaign G,2361,17
27-04-2023,Campaign A,481,8
27-04-2023,Campaign F,1510,28
27-04-2023,Campaign H,996,29
27-04-2023,Campaign B,1816,88
27-04-2023,Campaign C,932,16
27-04-2023,Campaign E,2431,86
27-04-2023,Campaign D,1721,69
27-04-2023,Campaign G,2179,4
28-04-2023,Campaign A,588,12
28-04-2023,Campaign F,1753,33
28-04-2023,Campaign H,1127,33
28-04-2023,Campaign B,1868,87
28-04-2023,Campaign C,1127,12
28-04-2023,Campaign E,2271,78
28-04-2023,Campaign D,1571,73
28-04-2023,Campaign G,2123,9
29-04-2023,Campaign A,542,7
29-04-2023,Campaign F,1679,26
29-04-2023,Campaign H,860,31
29-04-2023,Campaign B,2052,96
29-04-2023,Campaign C,748,11
29-04-2023,Campaign E,2203,69
29-04-2023,Campaign D,1779,90
29-04-2023,Campaign G,2147,9
30-04-2023,Campaign A,748,11
30-04-2023,Campaign F,1359,20
30-04-2023,Campaign H,852,22
30-04-2023,Campaign B,2370,127
30-04-2023,Campaign C,969,21
30-04-2023,Campaign E,2569,73
30-04-2023,Campaign D,1680,79
30-04-2023,Campaign G,2066,5
01-05-2023,Campaign F,1558,30
01-05-2023,Campaign H,992,21
01-05-2023,Campaign B,1917,99
01-05-2023,Campaign C,989,11
01-05-2023,Campaign E,2077,77
01-05-2023,Campaign D,1738,75
01-05-2023,Campaign G,2535,7
02-05-2023,Campaign F,1659,29
02-05-2023,Campaign H,884,26
02-05-2023,Campaign B,2049,107
02-05-2023,Campaign C,1110,15
02-05-2023,Campaign E,2300,78
02-05-2023,Campaign D,1801,80
02-05-2023,Campaign G,2101,6
03-05-2023,Campaign F,1515,34
03-05-2023,Campaign H,1001,21
03-05-2023,Campaign B,1852,93
03-05-2023,Campaign C,970,17
03-05-2023,Campaign E,2195,68
03-05-2023,Campaign D,1700,78
03-05-2023,Campaign G,2065,7
04-05-2023,Campaign F,1536,28
04-05-2023,Campaign H,969,24
04-05-2023,Campaign B,1791,73
04-05-2023,Campaign C,1069,17
04-05-2023,Campaign E,2051,68
04-05-2023,Campaign D,1791,87
04-05-2023,Campaign G,2321,7
05-05-2023,Campaign F,1469,21
05-05-2023,Campaign H,848,27
05-05-2023,Campaign B,1779,109
05-05-2023,Campaign C,874,11
05-05-2023,Campaign E,2241,86
05-05-2023,Campaign D,1516,83
05-05-2023,Campaign G,2316,9
06-05-2023,Campaign F,1533,27
06-05-2023,Campaign H,980,22
06-05-2023,Campaign B,1859,97
06-05-2023,Campaign C,1159,8
06-05-2023,Campaign E,2276,73
06-05-2023,Campaign D,1697,55
06-05-2023,Campaign I,1207,20
06-05-2023,Campaign G,2328,6
07-05-2023,Campaign J,2087,56
07-05-2023,Campaign F,1699,35
07-05-2023,Campaign H,651,21
07-05-2023,Campaign B,1997,91
07-05-2023,Campaign C,982,19
07-05-2023,Campaign E,2081,81
07-05-2023,Campaign D,1711,81
07-05-2023,Campaign I,1229,22
07-05-2023,Campaign G,2185,12
08-05-2023,Campaign J,2345,77
08-05-2023,Campaign F,1510,22
08-05-2023,Campaign H,670,20
08-05-2023,Campaign B,2079,110
08-05-2023,Campaign C,1141,16
08-05-2023,Campaign E,2295,72
08-05-2023,Campaign D,1441,59
08-05-2023,Campaign I,1411,30
08-05-2023,Campaign G,2367,5
09-05-2023,Campaign J,2309,71
09-05-2023,Campaign F,1346,21
09-05-2023,Campaign H,959,18
09-05-2023,Campaign B,1835,92
09-05-2023,Campaign C,924,11
09-05-2023,Campaign E,2027,59
09-05-2023,Campaign D,1658,59
09-05-2023,Campaign I,1300,18
09-05-2023,Campaign G,2376,4
10-05-2023,Campaign J,2254,77
10-05-2023,Campaign F,1466,18
10-05-2023,Campaign H,971,27
10-05-2023,Campaign B,1838,90
10-05-2023,Campaign C,1009,12
10-05-2023,Campaign E,2480,86
10-05-2023,Campaign D,1699,82
10-05-2023,Campaign I,1251,21
10-05-2023,Campaign G,2397,9
11-05-2023,Campaign J,2316,71
11-05-2023,Campaign F,1644,24
11-05-2023,Campaign H,938,26
11-05-2023,Campaign B,1992,93
11-05-2023,Campaign C,1089,14
11-05-2023,Campaign E,2249,70
11-05-2023,Campaign D,1844,69
11-05-2023,Campaign I,1109,20
11-05-2023,Campaign G,2407,6
12-05-2023,Campaign J,2498,69
12-05-2023,Campaign F,1518,28
12-05-2023,Campaign H,832,19
12-05-2023,Campaign K,2450,37
12-05-2023,Campaign B,2108,116
12-05-2023,Campaign C,900,15
12-05-2023,Campaign E,2496,83
12-05-2023,Campaign D,1527,74
12-05-2023,Campaign I,1321,28
12-05-2023,Campaign G,2119,9
13-05-2023,Campaign J,2293,96
13-05-2023,Campaign F,1625,33
13-05-2023,Campaign H,819,21
13-05-2023,Campaign K,2366,30
13-05-2023,Campaign B,1784,89
13-05-2023,Campaign C,849,14
13-05-2023,Campaign E,2241,78
13-05-2023,Campaign D,1474,77
13-05-2023,Campaign I,940,13
13-05-2023,Campaign G,2389,6
14-05-2023,Campaign J,2250,64
14-05-2023,Campaign F,1442,26
14-05-2023,Campaign H,872,26
14-05-2023,Campaign K,2200,28
14-05-2023,Campaign B,1756,96
14-05-2023,Campaign C,894,10
14-05-2023,Campaign E,2204,79
14-05-2023,Campaign D,1458,61
14-05-2023,Campaign I,1311,27
14-05-2023,Campaign G,2299,4
15-05-2023,Campaign J,2212,77
15-05-2023,Campaign F,1720,26
15-05-2023,Campaign H,1055,39
15-05-2023,Campaign K,2326,37
15-05-2023,Campaign B,1819,94
15-05-2023,Campaign C,937,17
15-05-2023,Campaign E,2279,71
15-05-2023,Campaign D,1666,68
15-05-2023,Campaign I,1321,31
15-05-2023,Campaign G,2099,13
16-05-2023,Campaign J,2316,86
16-05-2023,Campaign F,1406,23
16-05-2023,Campaign H,848,31
16-05-2023,Campaign K,2399,29
16-05-2023,Campaign B,1761,87
16-05-2023,Campaign C,787,14
16-05-2023,Campaign E,2348,76
16-05-2023,Campaign D,1619,68
16-05-2023,Campaign I,1196,23
16-05-2023,Campaign G,2120,2
17-05-2023,Campaign J,2110,80
17-05-2023,Campaign F,1413,25
17-05-2023,Campaign H,1036,33
17-05-2023,Campaign K,2392,37
17-05-2023,Campaign B,1791,87
17-05-2023,Campaign C,1110,11
17-05-2023,Campaign E,2222,72
17-05-2023,Campaign D,1651,86
17-05-2023,Campaign I,1010,19
17-05-2023,Campaign G,2192,13
18-05-2023,Campaign J,1954,55
18-05-2023,Campaign F,1730,27
18-05-2023,Campaign H,785,23
18-05-2023,Campaign K,2170,15
18-05-2023,Campaign B,1915,90
18-05-2023,Campaign C,932,11
18-05-2023,Campaign E,2317,63
18-05-2023,Campaign D,1422,69
18-05-2023,Campaign I,1129,25
18-05-2023,Campaign G,2150,8
19-05-2023,Campaign J,2235,62
19-05-2023,Campaign F,1455,27
19-05-2023,Campaign H,942,23
19-05-2023,Campaign K,2277,36
19-05-2023,Campaign C,878,13
19-05-2023,Campaign E,2503,67
19-05-2023,Campaign D,1614,69
19-05-2023,Campaign I,1133,25
19-05-2023,Campaign G,2264,6
20-05-2023,Campaign J,2246,77
20-05-2023,Campaign F,1509,28
20-05-2023,Campaign H,891,33
20-05-2023,Campaign K,2220,22
20-05-2023,Campaign C,1155,12
20-05-2023,Campaign E,2272,73
20-05-2023,Campaign D,1801,83
20-05-2023,Campaign I,1265,19
20-05-2023,Campaign G,2287,14
21-05-2023,Campaign J,2274,71
21-05-2023,Campaign F,1572,33
21-05-2023,Campaign H,733,15
21-05-2023,Campaign K,2155,32
21-05-2023,Campaign L,834,13
21-05-2023,Campaign C,1013,11
21-05-2023,Campaign E,2486,80
21-05-2023,Campaign I,1059,22
21-05-2023,Campaign G,2279,5
22-05-2023,Campaign J,2328,74
22-05-2023,Campaign M,2776,29
22-05-2023,Campaign F,1363,20
22-05-2023,Campaign H,905,22
22-05-2023,Campaign K,2264,20
22-05-2023,Campaign L,933,24
